"ID","LocationISO2","VAT","TimeStamp","OEM","Category","CollectDTG","CollectedPrice","ConditionData","PriceConvertedUSD","CurrencyID","Description","LocationSpecific","ListingType","LocationCity","LocationCountry","CollectedOEM","CollectedModel","ModelYear","Notes","OptionalEquipmentIncluded","Qty","SellerCompany","SellerID","SellerNumberOfTransactions","SellerRating","SerialNumber","ShipsTo","NumberSold","SourceFilename","SourcePlatform","SourceType","SourceURL","CollectedTitle","ItemUserViewsData","ItemWatchers","Filename","MOSD","Date","Title","Model","ReqdDate","noOfTransactions","transactionMonths","noOfViews","locationCityFinal","locationStateFinal","locationCountryFinal","locationISO2Final","latitude","longitude","GeoRef","Tariff"
"10492076","NULL",NA,"NULL","Hologic","MRI","2018-04-10 21:54:53",3100,"Unknown","NULL","USD","Selenia Acquisition Workstation Model: ASY-01418 Date of Mfg: July 2007 Selenia Gantry Model: ASY-00676 Date of Mfg: July 2007 Detector Model: RM-ASY-00834","NULL","NULL","NULL","GA","Hologic","NULL","NULL","NULL","NULL",1,"Tekyard Medical LLC Phone: +1 (952) -657-7977 Greater Greensboro, NC Area, 1919 North Bridge Street, ELKIN, NC 28621 United States www.tekyard.com View All Listings from Tekyard Medical LLC BUY IT NOW","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","MedicalDealer","Website","http://medicaldealer.com/classifieds/selenia-dimensions-mammography-system-asy-01418/","Selenia Dimensions mammography system ASY 01418 Seller Information Share this Listing:","NULL","NULL","medicalDB180409.csv"," Hologic  Selenia Dimensions mammography system ASY 01418 Seller Information Share this Listing:  ",2018-04-10,"Selenia Dimensions mammography system ASY 01418 Seller Information Share this Listing:","Selenia","2018-04-10",NA,NA,NA,"TBD","TBD","Gabon","GA","TBD","TBD","Eastbrook Bend  |  Peachtree City, GA",1
"10490092","NULL",1,"NULL","GE","MRI","2018-04-10 20:10:31",325000,"Used","NULL","USD","MRI Scanner GE Discovery MR450 1.5T The GE Discovery MR450 1.5T MRI machine provides the most advanced capabilities available in MR imaging. Equipped with a proven, short bore, superconducting magnet, the GE Discovery MR450 1.5T MRI features 64 element architecture than can accommodate patients up to 500 pounds. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/Nf5Wfz Used equipment can sell very quickly. Contact the seller asap to discuss this GE Discovery MR450 1.5T.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-discovery-mr450-1-5t-for-sale/ref649056","GE Discovery MR450 1.5T","NULL","NULL","medicalDB180409.csv","   GE Discovery MR450 1.5T  ",2018-04-10,"GE Discovery MR450 1.5T","Optima MR450W","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490096","NULL",1,"NULL","GE","CT","2018-04-10 20:10:46",180000,"Used","NULL","USD","CT Scanner GE LightSpeed VCT 64 The GE LightSpeed VCT is a whole body CT scanner that has been designed to produce advanced cardiac and neuro imaging using SnapShot Pulse. This scanner also uses the VolumeShuttle acquisition technique to enable 80 mm of volume coverage. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/n1wsqv Used equipment can sell very quickly. Contact the seller asap to discuss this GE LightSpeed VCT 64.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-lightspeed-vct-64-for-sale-5/ref649052","GE LightSpeed VCT 64","NULL","NULL","medicalDB180409.csv","   GE LightSpeed VCT 64  ",2018-04-10,"GE LightSpeed VCT 64","Lightspeed VCT 64","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490097","NULL",1,"NULL","GE","CT","2018-04-10 20:10:48",135000,"Used","NULL","USD","CT Scanner GE LightSpeed VCT 64 The GE LightSpeed VCT is a whole body CT scanner that has been designed to produce advanced cardiac and neuro imaging using SnapShot Pulse. This scanner also uses the VolumeShuttle acquisition technique to enable 80 mm of volume coverage. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/wDNXg6 Used equipment can sell very quickly. Contact the seller asap to discuss this GE LightSpeed VCT 64.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-lightspeed-vct-64-for-sale-4/ref649051","GE LightSpeed VCT 64","NULL","NULL","medicalDB180409.csv","   GE LightSpeed VCT 64  ",2018-04-10,"GE LightSpeed VCT 64","Lightspeed VCT 64","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490098","NULL",1,"NULL","GE","CT","2018-04-10 20:10:52",125000,"Used","NULL","USD","CT Scanner GE LightSpeed VCT 64 The GE LightSpeed VCT is a whole body CT scanner that has been designed to produce advanced cardiac and neuro imaging using SnapShot Pulse. This scanner also uses the VolumeShuttle acquisition technique to enable 80 mm of volume coverage. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/b9zfis Used equipment can sell very quickly. Contact the seller asap to discuss this GE LightSpeed VCT 64.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-lightspeed-vct-64-for-sale-3/ref649050","GE LightSpeed VCT 64","NULL","NULL","medicalDB180409.csv","   GE LightSpeed VCT 64  ",2018-04-10,"GE LightSpeed VCT 64","Lightspeed VCT 64","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490099","NULL",1,"NULL","GE","CT","2018-04-10 20:10:54",150000,"Used","NULL","USD","CT Scanner GE LightSpeed VCT 64 The GE LightSpeed VCT is a whole body CT scanner that has been designed to produce advanced cardiac and neuro imaging using SnapShot Pulse. This scanner also uses the VolumeShuttle acquisition technique to enable 80 mm of volume coverage. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/Lkiw42 Used equipment can sell very quickly. Contact the seller asap to discuss this GE LightSpeed VCT 64.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-lightspeed-vct-64-for-sale-2/ref649049","GE LightSpeed VCT 64","NULL","NULL","medicalDB180409.csv","   GE LightSpeed VCT 64  ",2018-04-10,"GE LightSpeed VCT 64","Lightspeed VCT 64","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490100","NULL",1,"NULL","GE","CT","2018-04-10 20:10:57",135000,"Used","NULL","USD","CT Scanner GE LightSpeed VCT 64 The GE LightSpeed VCT is a whole body CT scanner that has been designed to produce advanced cardiac and neuro imaging using SnapShot Pulse. This scanner also uses the VolumeShuttle acquisition technique to enable 80 mm of volume coverage. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/hgon78 Used equipment can sell very quickly. Contact the seller asap to discuss this GE LightSpeed VCT 64.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-lightspeed-vct-64-for-sale/ref649048","GE LightSpeed VCT 64","NULL","NULL","medicalDB180409.csv","   GE LightSpeed VCT 64  ",2018-04-10,"GE LightSpeed VCT 64","Lightspeed VCT 64","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490101","NULL",1,"NULL","GE","CT","2018-04-10 20:11:00",48000,"Used","NULL","USD","CT Scanner GE LightSpeed Ultra 8 GE Lightspeed 8 Ultra CT scanner remains one of the fastest 8-slice CT machines on the market today. When released, the Lightspeed 8 Ultra was advertised as a premium pediatric CT scanner because it could deliver pediatric exams up to 3-times faster than a 4-slice CT scanner. Today it remains true. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/b4knpq Used equipment can sell very quickly. Contact the seller asap to discuss this GE LightSpeed Ultra 8.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-lightspeed-ultra-8-for-sale/ref649047","GE LightSpeed Ultra 8","NULL","NULL","medicalDB180409.csv","   GE LightSpeed Ultra 8  ",2018-04-10,"GE LightSpeed Ultra 8","Lightspeed Ultra","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490110","NULL",1,"NULL","GE","MRI","2018-04-10 20:11:25",59000,"Used","NULL","USD","Mammography Machine GE Senographe Essential Senographe Essential digital mammography system is an upgradeable platform designed to deliver clinical confidence and give you what you need to deliver high-quality care. Senographe Essential lets you perform a wide variety of breast procedures from in-office or mobile screening to advanced diagnostic procedures. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/aspSsw Used equipment can sell very quickly. Contact the seller asap to discuss this GE Senographe Essential.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-ge-senographe-essential-for-sale/ref649038","GE Senographe Essential","NULL","NULL","medicalDB180409.csv","   GE Senographe Essential  ",2018-04-10,"GE Senographe Essential","Senographe Essential","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
"10490111","NULL",1,"NULL","Hologic","MRI","2018-04-10 20:11:28",39500,"Used","NULL","USD","Mammography Machine HOLOGIC Selenia Digital Mammography Hologic offers a complete line of digital mammography products designed to fit virtually every institutional budget and objective — without sacrificing image quality. Hologic Selenia Digital Mammo 2007 2009 Detector 2011 X-Ray Tube Console, Monitor, Keyboard, Compressio Padles, Magnification Stand. Feel free to contact me for more information: Phone: +38 095 2383 415 Email: natalia@bimedis.com https://bimedis.com/contacts Item details: https://goo.gl/X73R9y Used equipment can sell very quickly. Contact the seller asap to discuss this HOLOGIC Selenia.","NULL","NULL","NULL","US","NULL","NULL","NULL","NULL","NULL",1,"Nataliya Nataliya","NULL","NULL","NULL","NULL","NULL","NULL","medicalDB180409.csv","Kit-Mondo","Website","http://www.kitmondo.com/used-hologic-selenia-for-sale/ref649036","Hologic Selenia","NULL","NULL","medicalDB180409.csv","   Hologic Selenia  ",2018-04-10,"Hologic Selenia","Selenia","2018-04-10",NA,NA,NA,"TBD","TBD","United States","US","TBD","TBD","US",1
